market,pct,holding,regime,event_n,event_avg_return,event_median_return,event_win_rate,event_avg_mdd,random_n,random_avg_return,random_median_return,random_win_rate,random_avg_mdd,excess_avg_return,excess_win_rate,excess_avg_mdd
SSE,1,3,BELOW,28,0.008269683352534704,-0.0030977440781373433,0.4642857142857143,-0.028656941704108936,28,-0.004213178436880437,-0.004310283918617985,0.4642857142857143,-0.018454977181420952,0.012482861789415142,0.0,-0.010201964522687984
SSE,1,5,ALL,54,0.00511368677761796,0.015422310880206291,0.5370370370370371,-0.049959924369704076,54,0.002578392062860572,0.0017287181327498846,0.5555555555555556,-0.023488994732994373,0.002535294714757388,-0.01851851851851849,-0.026470929636709703
SSE,1,5,ABOVE,26,0.002117861096531354,0.011223793123983694,0.5384615384615384,-0.05814675372548098,26,0.011758038706065881,0.00826908729386544,0.6153846153846154,-0.01776272037537701,-0.009640177609534527,-0.07692307692307698,-0.04038403335010397
SSE,1,5,BELOW,28,0.007895524910055522,0.022049395267181304,0.5357142857142857,-0.04235786853933981,28,-0.005071372708676224,-9.81581099744333e-05,0.5,-0.024993192595871933,0.012966897618731744,0.0357142857142857,-0.017364675943467876
SSE,1,10,ALL,54,0.013382688654284403,0.011850704950654767,0.6296296296296297,-0.06171233657942389,54,0.005926317779473992,0.0054654166332016585,0.5555555555555556,-0.03743067496712024,0.007456370874810411,0.07407407407407407,-0.02428166161230365
SSE,1,10,ABOVE,26,0.014158609809822385,0.006036372128785827,0.5384615384615384,-0.07016062049213603,26,0.01084039495384014,0.017002118905172448,0.6923076923076923,-0.02875790540894593,0.003318214855982245,-0.15384615384615385,-0.0414027150831901
SSE,1,10,BELOW,28,0.012662190438427704,0.01331155107427029,0.7142857142857143,-0.053867501517619765,28,-0.002560230549360304,-0.008129733047906207,0.4642857142857143,-0.03137095536116926,0.015222420987788008,0.25,-0.022496546156450505
SSE,1,20,ALL,54,-0.001089518804081636,0.02098940739553412,0.5555555555555556,-0.08352291148373041,54,-0.01293404331630216,-0.011732666764024291,0.4444444444444444,-0.05921778036049504,0.011844524512220525,0.11111111111111116,-0.024305131123235367
SSE,1,20,ABOVE,26,-0.0029793606321271747,-0.014839235071658574,0.46153846153846156,-0.09012623185871754,26,-0.0060876881911056495,-0.002842989702539378,0.5,-0.050483489962951225,0.0031083275589784748,-0.038461538461538436,-0.03964274189576632
SSE,1,20,BELOW,28,0.0006653343219606502,0.033087523995302126,0.6428571428571429,-0.07739125684981384,28,-0.017278869087243746,-0.02083609431866107,0.39285714285714285,-0.049975126415454464,0.017944203409204395,0.25000000000000006,-0.027416130434359372
SSE,1,60,ALL,54,0.0025118205680984673,-0.012032651947279038,0.4444444444444444,-0.1473654246129343,54,0.014286528788388748,-0.010880375826885558,0.4444444444444444,-0.08836103568922866,-0.01177470822029028,0.0,-0.059004388923705645
SSE,1,60,ABOVE,26,0.04692880413996536,-0.006385834332935825,0.46153846153846156,-0.1431818018348099,26,0.03485444679754406,0.023074271313184513,0.5384615384615384,-0.06963319745003,0.0120743573424213,-0.07692307692307687,-0.07354860438477992
SSE,1,60,BELOW,28,-0.03873252132006365,-0.03041378341536266,0.42857142857142855,-0.15125021719262127,28,-0.02027911494984075,-0.02177817761080303,0.35714285714285715,-0.09137321714516933,-0.0184534063702229,0.0714285714285714,-0.059877000047451945
SSE,5,1,ALL,263,0.004906175864796889,0.005688846079110466,0.6159695817490495,-0.01659598015598304,263,0.0006134458890752542,0.0006672374597738173,0.5171102661596958,-0.008286613416461948,0.004292729975721635,0.09885931558935368,-0.00830936673952109
SSE,5,1,ABOVE,116,0.004641221722157628,0.007610931918984543,0.6120689655172413,-0.018362601232430376,116,0.0003666941300080788,8.936187142583041e-05,0.5086206896551724,-0.008047051462203147,0.004274527592149549,0.10344827586206895,-0.01031554977022723
SSE,5,1,BELOW,147,0.005115255324294538,0.004439560288716615,0.6190476190476191,-0.01520191182354841,147,0.00268422588303031,0.0017923346161052844,0.5986394557823129,-0.007321419299125875,0.002431029441264228,0.020408163265306145,-0.007880492524422536
SSE,5,3,ALL,262,0.0036562416995330723,0.0019256805105097863,0.5267175572519084,-0.030129707827855682,262,0.0008457687613151949,0.0028425638108398044,0.5610687022900763,-0.016600249080764656,0.002810472938217877,-0.03435114503816794,-0.013529458747091026
SSE,5,3,ABOVE,116,0.0038318008546560597,0.004113541770149665,0.5344827586206896,-0.03281350829654551,116,0.0038846795304825726,0.0027857067876347896,0.5775862068965517,-0.014817088624506102,-5.2878675826512934e-05,-0.0431034482758621,-0.017996419672039406
SSE,5,3,BELOW,146,0.0035167563434079585,0.0014473079326502436,0.5205479452054794,-0.027997373208896635,146,-0.0009505802805341743,0.00040282371901423364,0.5273972602739726,-0.01873183122333566,0.004467336623942133,-0.006849315068493178,-0.009265541985560975
SSE,5,5,ALL,262,0.0033368564567191885,0.006301729975626946,0.5305343511450382,-0.04038433370244038,262,0.002776081266516549,0.0023855340376366385,0.5381679389312977,-0.020815026539038415,0.0005607751902026396,-0.007633587786259444,-0.019569307163401963
SSE,5,5,ABOVE,116,0.0034333032938937635,0.010825752745850292,0.5689655172413793,-0.04440049250882796,116,0.002270808653402404,0.0014926293711061689,0.5344827586206896,-0.02013552965477664,0.0011624946404913596,0.034482758620689724,-0.02426496285405132
SSE,5,5,BELOW,146,0.003260227462799663,0.0002520184634235978,0.5,-0.037193413006954355,146,0.0008796325827899473,0.0011163440741673858,0.5136986301369864,-0.023346489708532838,0.0023805948800097155,-0.013698630136986356,-0.013846923298421517
SSE,5,10,ALL,262,0.002903345186066604,0.007730631305460811,0.5648854961832062,-0.05653425567323946,262,-0.00023416363713964143,0.0009622656724939116,0.5190839694656488,-0.03522238454705162,0.003137508823206245,0.04580152671755733,-0.02131187112618784
SSE,5,10,ABOVE,116,0.013982034793860188,0.01807676751684495,0.6293103448275862,-0.056671142594347475,116,0.007517430545267496,0.009654904725957425,0.6120689655172413,-0.029387785202612957,0.006464604248592692,0.017241379310344862,-0.027283357391734517
SSE,5,10,BELOW,146,-0.005898901351632408,0.0005995440903451277,0.5136986301369864,-0.05642549620167419,146,0.0008385845542676309,0.0038406320888803025,0.5342465753424658,-0.030886674242535966,-0.006737485905900039,-0.020547945205479423,-0.025538821959138223
SSE,5,20,ALL,262,0.0034842223981354933,0.004797843094495158,0.549618320610687,-0.07556991736901765,262,0.01041522834472557,0.007950834722762368,0.5305343511450382,-0.04774920915509672,-0.006931005946590076,0.01908396946564883,-0.02782070821392093
SSE,5,20,ABOVE,116,0.019841205546908467,0.019305725608639523,0.6120689655172413,-0.06923201858996529,116,0.019128951847971587,0.01557205713321519,0.6206896551724138,-0.03678556127310568,0.0007122536989368801,-0.008620689655172487,-0.03244645731685961
SSE,5,20,BELOW,146,-0.009511736815958103,7.0283849660846e-05,0.5,-0.08060550817977159,146,0.004594051950246034,0.006661078062590531,0.541095890410959,-0.04699244641600594,-0.014105788766204136,-0.04109589041095896,-0.033613061763765655
SSE,5,60,ALL,261,0.0070925240093560335,-0.0008304056418209083,0.49808429118773945,-0.12410988647790137,261,0.010453320824246552,-0.010463800121827682,0.47126436781609193,-0.087758336214047,-0.003360796814890518,0.026819923371647514,-0.03635155026385438
